modelName;type;maxPerturbation;size;clum_size;nlum_size;et_rel;et;|M*xt|_2;epsilon;max_deviation;norm_x0;compactum_bound;norm_fx0;max_allowed_slope;avg_per_err;avg_err;max_err;max_epsilon;consideredEpsilons;tolerance;t0;t1;secThisEpsilon;secTotal
BioNetGen_CCP_D13PG_[e=0.267];paper/polynomial;0.0;87;30;23;0.3148125597652731;3.279802686396952;10.41827139565969;0.2671206567158607;;1.0;1.0;1.0;;21.07951243946101;2.0955920921632187;3.279802686396952;2.82842712474619;23;1e-06;0.0;100.0;20.08344316482544;26.030744552612305
BioNetGen_CCP_D13PG_[e=0.267];paper/polynomial;0.0;87;30;23;0.3148125597652731;3.279802686396952;10.41827139565969;0.2671206567158607;;1.0;1.0;1.0;;21.07951243946101;2.0955920921632187;3.279802686396952;2.82842712474619;23;1e-06;0.0;100.0;0.711186408996582;6.725710868835449
BioNetGen_CCP_D13PG_[e=0.000];paper/polynomial;0.0;87;30;30;0.0;0.0;10.41827139565969;0.0;;1.0;1.0;1.0;;0.0;0.0;0.0;2.82842712474619;23;1e-06;0.0;100.0;17.269896984100342;17.269900798797607
BioNetGen_CCP_D13PG_[e=0.000];paper/polynomial;0.0;87;30;30;0.0;0.0;10.41827139565969;0.0;;1.0;1.0;1.0;;0.0;0.0;0.0;2.82842712474619;23;1e-06;0.0;100.0;0.7116231918334961;0.7116265296936035
BioNetGen_CCP_D13PG_[e=0.000];paper/polynomial;0.0;87;30;30;0.0;0.0;10.41827139565969;0.0;;1.0;1.0;1.0;;0.0;0.0;0.0;2.82842712474619;23;1e-06;0.0;100.0;0.7317464351654053;0.7317502498626709
BioNetGen_CCP_D13PG_[e=0.000];paper/polynomial;0.0;87;30;30;0.0;0.0;10.41827139565969;0.0;;1.0;1.0;1.0;;0.0;0.0;0.0;2.82842712474619;23;1e-06;0.0;100.0;0.7366092205047607;0.7366127967834473
BioNetGen_CCP_D13PG_[e=0.000];paper/polynomial;0.0;87;30;30;0.0;0.0;10.41827139565969;0.0;;1.0;1.0;1.0;;0.0;0.0;0.0;2.82842712474619;23;1e-06;0.0;100.0;0.7379765510559082;0.7379794120788574
NIHMS80246_S6_S2P_[e=0.313];paper/polynomial;0.0;24;19;7;1.0;99.99190624329985;99.99190624329985;0.3130489197554026;;141.4213562373095;141.4213562373095;587.5372328627352;;99.50248756218906;88.88303609007349;99.99190624329985;0.31304951684997057;20;1e-06;0.0;600.0;2.1205713748931885;2.3701443672180176
NIHMS80246_S6_S2P_[e=0.313];paper/polynomial;0.0;24;19;7;1.0;99.99190624329985;99.99190624329985;0.3130489197554026;;141.4213562373095;141.4213562373095;587.5372328627352;;99.50248756218906;88.88303609007349;99.99190624329985;0.31304951684997057;20;1e-06;0.0;600.0;1.9309420585632324;2.1801607608795166
NIHMS80246_S6_S2P_[e=0.129];paper/polynomial;0.0;24;19;9;1.0;99.99190624329985;99.99190624329985;0.12850072197205004;;141.4213562373095;141.4213562373095;587.5372328627352;;99.50248756218906;88.88303609007349;99.99190624329985;0.31304951684997057;20;1e-06;0.0;600.0;2.3918118476867676;2.734144926071167
